step packing-fraction pressure energy-change total-events
0 0.01392385663267494 1.049665304379366 100 2000 
1 0.01766220234740732 1.067815669866068 -1.085865150490307 4100 
2 0.02189322927020174 1.076026813029585 -1.101365885636007 6200 
3 0.0265129799483158 1.09557169460765 -1.233423025201519 8300 
4 0.0315981427750339 1.116939353330446 -1.387680322107954 10400 
5 0.03684658608670537 1.148575708655776 -1.545986637498598 12500 
6 0.04222487565393857 1.185070005453978 -1.711882322821768 14600 
7 0.04785300660940008 1.210173111932641 -1.78723797515552 16700 
8 0.05397712370578998 1.222341966832174 -1.820125218177003 18800 
9 0.06010594069067601 1.25195741864288 -1.842374939673785 20900 
10 0.0666565658912793 1.278402281088454 -1.960952063023858 23000 
11 0.073497520175121 1.305655763284181 -2.035183087078319 25100 
12 0.07982714649331406 1.400580121319349 -2.259889752196664 27200 
13 0.08656509628595883 1.417489697231302 -2.310150436295432 29300 
14 0.09329093227547405 1.464800431915313 -2.378928003529824 31400 
15 0.09968306146442024 1.567011719372809 -2.573479547541679 33500 
16 0.1066266855955754 1.536062945565826 -2.469370333023826 35600 
17 0.1134083498739968 1.56441294996468 -2.379177404330547 37700 
18 0.1204356998259509 1.602107354217165 -2.47758025803544 39800 
19 0.1273443493571753 1.665936147517963 -2.545096204014663 41900 
20 0.134215953926353 1.74567252583873 -2.687978611376452 44000 
21 0.1410915162585208 1.788753124053885 -2.702166480730862 46100 
22 0.1480059866861982 1.831225384059916 -2.728886539176923 48200 
23 0.1549589651892899 1.873365417684207 -2.750849761346029 50300 
24 0.1617415348197147 1.958010706172913 -2.819186725837621 52400 
25 0.1686070801114155 1.989416479798455 -2.82362041733103 54500 
26 0.1748969444676837 2.171716501593323 -2.951145955930534 56600 
27 0.181479859908289 2.1894508225443 -3.023924753728567 58700 
28 0.1878557041525042 2.266962633462747 -3.008935370113275 60800 
29 0.1940392274233583 2.348928526745112 -3.005464052278681 62900 
30 0.2001281910083451 2.415203327543657 -3.008251501207539 65000 
31 0.2066119885684061 2.306229574677992 -2.861693779391205 67100 
32 0.2129178829875469 2.52767177784448 -3.16466670678558 69200 
33 0.2191837541671906 2.563558799819726 -3.123966817788871 71300 
34 0.225184893985874 2.708616846375489 -3.180387235299763 73400 
35 0.2313344340319018 2.670343994909813 -3.099051909980854 75500 
36 0.23740340119586 2.735469917993687 -3.094381876976738 77600 
37 0.2431910962261921 2.951050963084506 -3.240653723009957 79700 
38 0.2490005507338448 2.973465437953914 -3.211560919527033 81800 
39 0.2546542951270605 3.13608187779241 -3.30920256473123 83900 
40 0.259961839967046 3.276675979918169 -3.238403450338379 86000 
41 0.2654647449125272 3.312704454707443 -3.34367540807741 88100 
42 0.2712617630581451 3.185426643926593 -3.255812609609789 90200 
43 0.2767549997596361 3.343546516038717 -3.24026399705044 92300 
44 0.2821441084308938 3.535882250030947 -3.377093172589694 94400 
45 0.2871570107416018 3.719667936306918 -3.304516263287648 96500 
46 0.292271912232244 3.767302253470769 -3.373084406785896 98600 
47 0.297297475224068 3.839875938614475 -3.341655833387815 100700 
48 0.3020407370549936 4.001063416939049 -3.277071541013445 102800 
49 0.3070818310029541 3.901692859065268 -3.314591672394085 104900 
50 0.3118602896126181 4.270035319035819 -3.49032672018603 107000 
51 0.316424347676573 4.440534050040829 -3.454128431408643 109100 
52 0.3210229782436011 4.510489936246535 -3.501706199190425 111200 
53 0.3254343279202286 4.753087219116012 -3.542108131226484 113300 
54 0.3299709830573325 4.576699862823904 -3.420385495337248 115400 
55 0.3343724688876844 4.66203840755407 -3.349642588419854 117500 
56 0.3388521386312991 4.888743112622364 -3.580514202461814 119600 
57 0.3432223979577849 5.026933963494725 -3.569613975023999 121700 
58 0.3473712000488631 5.267066915598766 -3.545829406693255 123800 
59 0.3513975253032026 5.351237730337439 -3.465363982345128 125900 
60 0.3554174183332859 5.433714226123714 -3.485804799467685 128000 
61 0.3594979720361454 5.369850573200395 -3.447048670818544 130100 
62 0.3635415750528043 5.409199398454017 -3.406628941791755 132200 
63 0.3676260717001174 5.568871783045719 -3.529741235727956 134300 
64 0.3716748667924879 5.520190613087364 -3.420309669782905 136400 
65 0.3757623538766539 5.62154461015903 -3.494340144711327 138500 
66 0.3796527695641257 5.860117461986893 -3.459513306475505 140600 
67 0.3833697541292634 6.22330365096988 -3.518828512608517 142700 
68 0.3870700186407867 6.199107784237517 -3.450969608458554 144800 
69 0.3908723513920239 6.288859624113378 -3.576946457863303 146900 
70 0.3946129549533385 6.377216190852409 -3.541919888012113 149000 
71 0.398094283068147 6.859418487703405 -3.559983092405305 151100 
72 0.4016928652839842 6.695692191521761 -3.545034821395297 153200 
73 0.405222393207392 6.799347131427584 -3.507826575941198 155300 
74 0.4085505048794268 7.422516323317673 -3.636409882322868 157400 
75 0.4119561916276515 7.214094890745339 -3.568562622564199 159500 
76 0.415385133370839 7.272194681306456 -3.597652993650204 161600 
77 0.418590134680685 7.743444201048398 -3.586215884424137 163700 
78 0.4218921533740637 7.467336409120198 -3.51352945385709 165800 
79 0.4250404588615276 7.896696068362187 -3.54636975178102 167900 
80 0.4280453484422154 8.561855103623152 -3.689498012851697 170000 
81 0.4311386841080145 8.223834029072297 -3.599443310415484 172100 
82 0.4342390190286682 8.226549766204267 -3.582565255250002 174200 
83 0.4372968977827051 8.469080987689058 -3.627847227753798 176300 
84 0.4402982865072229 8.518715468034017 -3.557327462498503 178400 
85 0.4432734036983139 8.821136360141445 -3.646250630230207 180500 
86 0.4462794236661818 8.329993120095761 -3.422658598508965 182600 
