step packing-fraction pressure energy-change total-events
0 0.0140340597603953 1.047908921022064 40.90384262225822 2000 
1 0.0177827561089609 1.069021183351607 -1.103207225560631 4100 
2 0.02190210078442508 1.086836857127132 -1.222046369753505 6200 
3 0.02653369675565953 1.10104300929254 -1.311243309242294 8300 
4 0.03136912651433647 1.129122362269839 -1.463723391510441 10400 
5 0.03639829279826618 1.156826782282756 -1.580048470173323 12500 
6 0.0417788954869945 1.173634805465741 -1.62225450758473 14600 
7 0.04740912016372517 1.207201642783592 -1.78007926680519 16700 
8 0.0536093204051778 1.214518139251936 -1.792218854381744 18800 
9 0.06007234391081512 1.233246209027203 -1.805006923480657 20900 
10 0.0661770215307578 1.299724460430576 -1.976361803926031 23000 
11 0.0726145411163242 1.333108735814556 -2.109005451210767 25100 
12 0.07940671560474563 1.337482443771269 -2.057126575462832 27200 
13 0.08616537738209554 1.390576071818727 -2.176391323691739 29300 
14 0.0931969725276091 1.419966244450302 -2.250306574956284 31400 
15 0.1000623231041584 1.457955080988126 -2.223047261246713 33500 
16 0.1070179075768584 1.499484032002477 -2.292895106367866 35600 
17 0.1139103820529675 1.578719232350635 -2.473340731163865 37700 
18 0.1207531103989717 1.638034151868092 -2.549725285642988 39800 
19 0.1275771214095416 1.667104775521372 -2.510244005896192 41900 
20 0.1344197840650597 1.737485423387399 -2.641513672462648 44000 
21 0.1414530588958512 1.722539144864596 -2.523077668766449 46100 
22 0.1483921217506073 1.807685916350326 -2.652331913417982 48200 
23 0.155369710464429 1.86298423887691 -2.720668690112705 50300 
24 0.1623735247200916 1.876885679880763 -2.651765845435825 52400 
25 0.1689681073028684 2.045119524176199 -2.858797145186019 54500 
26 0.175746360538954 2.056166381084204 -2.85318549271729 56600 
27 0.1823894756717875 2.120226673069309 -2.855009490747562 58700 
28 0.1885291844967425 2.358377777612609 -3.096760847197999 60800 
29 0.1951953415916228 2.27797044380353 -3.056208752387544 62900 
30 0.201446773027289 2.424434695633787 -3.09227863538024 65000 
31 0.2076665101320227 2.4103039595622 -2.949157680092183 67100 
32 0.2137087139676687 2.465944436727023 -2.889641872631044 69200 
33 0.2198921728827795 2.596149091967679 -3.136137140262329 71300 
34 0.2259110374322905 2.658123293191345 -3.082674925133923 73400 
35 0.2321206543057797 2.666096728035958 -3.110806669868927 75500 
36 0.2380443205441265 2.821664413419743 -3.163080841570509 77600 
37 0.2438254494885655 2.906598432407467 -3.152212167360746 79700 
38 0.2495508334389742 3.091217557672638 -3.350380442367141 81800 
39 0.2555370166099465 2.974406190834196 -3.227275412591777 83900 
40 0.2614176518459003 3.012876002771493 -3.156002678876891 86000 
41 0.2668972460985586 3.278498348613905 -3.259958239205908 88100 
42 0.2720639377086103 3.481894390714826 -3.282702632374757 90200 
43 0.2774621129215012 3.414348030206696 -3.272107238564835 92300 
44 0.2828826044865658 3.512287169338502 -3.355648939374491 94400 
45 0.2881242699577408 3.638909486623117 -3.34492130166918 96500 
46 0.2928321136315612 3.93138698318255 -3.277723070179806 98600 
47 0.2980732662433913 3.755973557545168 -3.375414555382462 100700 
48 0.3029372879160274 4.051524063052662 -3.411862862705773 102800 
49 0.3078978653948896 4.031624198539148 -3.400694463935003 104900 
50 0.3126843299542854 4.229268418566797 -3.441822396281247 107000 
51 0.3171742955415565 4.550464923491539 -3.499246131134151 109100 
52 0.3219112983977168 4.359477036458374 -3.440884552027303 111200 
53 0.326490130334803 4.474057372951821 -3.38833286686293 113300 
54 0.3309941069823193 4.638866769118147 -3.444169904052087 115400 
55 0.3354442058499853 4.739548615975458 -3.451232125491142 117500 
56 0.3397639230909099 4.812046397350218 -3.367486493765049 119600 
57 0.3440938589401932 4.896017541461204 -3.407544506990058 121700 
58 0.3484703431312383 4.857932017821946 -3.36645234226568 123800 
59 0.3527869402449053 5.132878585501595 -3.518010693716311 125900 
60 0.3568176619750913 5.429096503965232 -3.477911624517002 128000 
61 0.3609740447270807 5.356238914731773 -3.487099923249936 130100 
62 0.3648433468103807 5.709306766188303 -3.470424891722578 132200 
63 0.368627865554832 5.762648301328662 -3.394513246063591 134300 
64 0.3724915292913874 5.806385314707783 -3.463222933709442 136400 
65 0.3762386468952704 6.09281860535563 -3.524983706553916 138500 
66 0.379959457930971 6.245554128157031 -3.571169104869409 140600 
67 0.383453419604726 6.478000914790149 -3.465505803715019 142700 
68 0.3871974613415546 6.158512053599297 -3.464041342455883 144800 
69 0.3908945568665863 6.390327966412812 -3.5426869304082 146900 
70 0.3946616323025867 6.293959536206888 -3.510414292920296 149000 
71 0.3982950308510821 6.718637013703236 -3.627202258759955 151100 
72 0.4017439735235456 7.06893450166359 -3.621561878248646 153200 
73 0.4050690616999809 7.136626754675537 -3.496831777916507 155300 
74 0.4084418009759945 7.232079488838441 -3.575021999621761 157400 
75 0.4115613282540045 7.951033827763268 -3.661960942927476 159500 
76 0.4149110126474754 7.369382269719029 -3.57195968100239 161600 
77 0.418077370573826 7.578723709847667 -3.45629896842432 163700 
78 0.4214074670626362 7.511049285371378 -3.573707467933816 165800 
79 0.4247871273960783 7.576404084499603 -3.636180216981312 167900 
80 0.4277314957242475 8.657937266352826 -3.662677851882055 170000 
81 0.430590669460815 8.733411012897774 -3.564006422683365 172100 
82 0.4337145297095965 8.222239169133147 -3.613015398311005 174200 
83 0.4364876835246166 8.986848196600628 -3.520075429971456 176300 
84 0.4394716113586951 8.437587285189668 -3.503330108400737 178400 
85 0.4424159676391863 8.737425927655218 -3.574362871080664 180500 
86 0.4452076507616494 9.574980591404421 -3.737216804236574 182600 
87 0.4481369878456054 8.891703374954202 -3.581006503715789 184700 
88 0.4510843636024743 8.818812671301918 -3.545097619351124 186800 
89 0.4539066959773709 9.315649017465361 -3.588958097905583 188900 
90 0.4567355478848704 9.686321635092224 -3.739314685427275 191000 
91 0.4595772415975693 9.475103119893566 -3.638913261771372 193100 
92 0.4622880139625677 9.804276723089961 -3.582522710531898 195200 
93 0.4648795655486032 10.19451721750539 -3.555406656844128 197300 
94 0.4674376230331252 10.61114894897264 -3.65138880022996 199400 
95 0.4700933380272162 10.14306376283936 -3.583885257664145 201500 
96 0.4727415455433419 10.3971498344761 -3.654819823037204 203600 
97 0.4753900858447846 10.46936206335006 -3.663058140535792 205700 
98 0.477966030748422 10.88271873901658 -3.698983788906362 207800 
99 0.4806190629961122 10.22676725307179 -3.532262950773846 209900 
100 0.4830844211220661 11.25629176649285 -3.632461150118304 212000 
101 0.485621705752898 10.95645823986298 -3.609694636366067 214100 
102 0.4881090217803153 11.533862963158 -3.728340590130576 216200 
103 0.4904626803568127 11.96752552251754 -3.652644837343131 218300 
104 0.4927214968731388 12.36727424702706 -3.614977930247786 220400 
105 0.4951068319468642 12.13535251596673 -3.725700456384161 222500 
106 0.4975499878221211 11.71560859983164 -3.651848246715106 224600 
107 0.4997864786526314 12.63035162929192 -3.609847321694682 226700 
108 0.5021064969253604 12.55178325805723 -3.705820529546934 228800 

final radius: 0.106227202355096
