step packing-fraction pressure energy-change total-events
0 0.01399895541661263 1.049760186626833 39.66253312745919 2000 
1 0.01791166104845725 1.06217746728206 -1.033669016452587 4100 
2 0.0221633301840994 1.076828301882806 -1.103056148507519 6200 
3 0.02672191176022726 1.107239068811579 -1.356955193029941 8300 
4 0.03171018684030221 1.115716709716734 -1.337993651714209 10400 
5 0.03711808065538701 1.143518342020657 -1.531074256820419 12500 
6 0.04284802636551885 1.161817032194559 -1.572515968496146 14600 
7 0.04870066075206746 1.194355877393849 -1.690149287786235 16700 
8 0.05483898718250315 1.232697966186012 -1.878187555812015 18800 
9 0.06074966936088452 1.288478401548492 -2.01362253889552 20900 
10 0.06724334171406432 1.281527450204057 -1.947633513195823 23000 
11 0.07374491026509834 1.31881350936714 -2.005705562813121 25100 
12 0.08019261204936172 1.39737002955902 -2.273990110664771 27200 
13 0.08686001321373979 1.407616634233178 -2.22308115148533 29300 
14 0.09391231830100027 1.429595503204642 -2.290016163729347 31400 
15 0.1007359407565731 1.502202504806194 -2.409178816448655 33500 
16 0.107296584874286 1.564298262524819 -2.435654273822374 35600 
17 0.114162601701613 1.593567779261338 -2.520965202227775 37700 
18 0.1209151840697429 1.630389558885862 -2.480105100235443 39800 
19 0.1277201235563745 1.66471762288815 -2.490703587983868 41900 
20 0.1345093376425941 1.769313237872243 -2.734445266162155 44000 
21 0.1413661145257077 1.751951809828235 -2.561445789968153 46100 
22 0.1484836059480387 1.808793072439061 -2.726196855388041 48200 
23 0.1548394184481537 1.929879899832399 -2.673330102934512 50300 
24 0.1618081561946124 1.913229330863129 -2.759486420919824 52400 
25 0.1688960979627149 1.950386273705091 -2.797410764696353 54500 
26 0.1756456049549374 2.10117914536378 -2.967116525010483 56600 
27 0.1820003213747546 2.193803994731882 -2.916861711662245 58700 
28 0.1886173363318647 2.227486496734929 -3.016370766557583 60800 
29 0.19495275865139 2.293325104532439 -2.937935103212598 62900 
30 0.2012274874575889 2.360658313365537 -2.964194631623343 65000 
31 0.2076039368877279 2.40154785186141 -3.007992241236781 67100 
32 0.2135364455178983 2.575546382242665 -3.055448158701358 69200 
33 0.2198904276534984 2.535311961135757 -3.100094227623915 71300 
34 0.2260008900931263 2.636473578564206 -3.088617979533214 73400 
35 0.231980736827132 2.786778599572044 -3.216859660788373 75500 
36 0.2380099595675037 2.826042243907933 -3.229871080107561 77600 
37 0.2436979439671323 2.992942610334225 -3.245698488606341 79700 
38 0.2493489044035236 3.026078374314531 -3.201086151797606 81800 
39 0.2551784941868112 2.980461993328627 -3.152692749304785 83900 
40 0.2606360257532223 3.229354991374541 -3.253804795529346 86000 
41 0.2660548186907807 3.274847483855679 -3.227765298285056 88100 
42 0.2715513299111598 3.288292397051131 -3.225590602964078 90200 
43 0.2767729239683573 3.515172823756623 -3.305572283296776 92300 
44 0.2822308979873195 3.544150248587506 -3.432095545225223 94400 
45 0.2872558694462546 3.755259350102885 -3.356608212326706 96500 
46 0.292073818504313 3.910460645585773 -3.341047724644873 98600 
47 0.2968827489346061 4.020597899248042 -3.406716931532227 100700 
48 0.3018181829672298 3.940486312973159 -3.346860092455819 102800 
49 0.3067744510215081 3.954739223409116 -3.320945927796139 104900 
50 0.3116884882838436 4.173994182860061 -3.485786689024327 107000 
51 0.3162802333562617 4.328213979927534 -3.360594346622325 109100 
52 0.3210140485365773 4.241476752610005 -3.32340483643884 111200 
53 0.3255879276707967 4.437685195734482 -3.357626380841115 113300 
54 0.3300467603955607 4.729523996207479 -3.507066281146718 115400 
55 0.3345399494805683 4.596837180651264 -3.357681060803585 117500 
56 0.3389439751421317 4.710473576979981 -3.350384374624048 119600 
57 0.3432136332834438 4.900126532319716 -3.371284577921706 121700 
58 0.3472593434989092 5.400345544097846 -3.56687056847932 123800 
59 0.3513721875499169 5.416942847197832 -3.598639364023839 125900 
60 0.3553233612064613 5.575456896891096 -3.538252432353928 128000 
61 0.3593201255821148 5.446536189078767 -3.436209134595892 130100 
62 0.3631608910253725 5.856624599034121 -3.571899537072433 132200 
63 0.3670550268018117 5.76155105647369 -3.511483207785935 134300 
64 0.3709610198373737 5.78186211519599 -3.499191515132735 136400 
65 0.3749319967506449 5.802553255037272 -3.536438885024697 138500 
66 0.3789018432781797 5.719632189843598 -3.434431251729795 140600 
67 0.3825397865578081 6.217086039997922 -3.4446050132096 142700 
68 0.386360899526647 5.979247378083776 -3.418813752986825 144800 
69 0.390104138765264 6.204289368479451 -3.46796263125122 146900 
70 0.3937534217012877 6.566891717511917 -3.586054899146627 149000 
71 0.3972526864418596 6.818035035529197 -3.560880491299969 151100 
72 0.4010663972410682 6.253771097598065 -3.469527562506801 153200 
73 0.4043966462774082 7.104999932152283 -3.489847420590796 155300 
74 0.4077227330563943 7.321307336268681 -3.582310470498455 157400 
75 0.4111372629618065 7.215688226347011 -3.586463276805007 159500 
76 0.4144492613373141 7.506046376963607 -3.612538939426602 161600 
77 0.4177259749466939 7.47087604528431 -3.523856881925027 163700 
78 0.4211438970587696 7.286804850510703 -3.543245647066982 165800 
79 0.4241716524438964 8.061533541860452 -3.49720444542716 167900 
80 0.4274690898417496 7.634940081128113 -3.553770216323649 170000 
81 0.4307537742636302 7.901915373459107 -3.657817047658595 172100 
82 0.4337393633277299 8.500992132865363 -3.584834029181974 174200 
83 0.4367247370499782 8.576377070169784 -3.596060572208337 176300 
84 0.4397056399382019 8.601607324049903 -3.57740882777535 178400 
85 0.4427173243186046 8.65945717893381 -3.618496676079775 180500 
86 0.4456343004236913 8.80986652075064 -3.547526291585034 182600 
87 0.4486314892759492 8.995133007502982 -3.712380915595623 184700 
88 0.4515913723386782 8.833533534987426 -3.563340410456359 186800 
89 0.4543222144122221 9.572950144982967 -3.575981299890664 188900 
90 0.4570479854532771 9.852291933155964 -3.666573460021029 191000 
91 0.4598580641605599 9.248881086461939 -3.495479219101195 193100 
92 0.4623938064356059 10.30744275540698 -3.539835978385743 195200 
93 0.4651357358572952 9.957325188116105 -3.667094415045027 197300 
94 0.4678716674147125 10.28320021454783 -3.773675039115342 199400 
95 0.4705888439249845 9.942323504840521 -3.582891699417002 201500 
96 0.4729979662311707 11.05108423327829 -3.550192827187137 203600 
97 0.475417558031128 11.30742890291943 -3.64095745561156 205700 
98 0.4777956018415516 11.16983699415005 -3.508423364780324 207800 
99 0.4802867340749317 11.06901424247047 -3.624131071892891 209900 
100 0.4827952115728687 11.24222704571804 -3.695528806606475 212000 
101 0.4850879263620817 11.81950436430183 -3.545417233035826 214100 
102 0.4877404976327089 10.69734156441754 -3.66142423313913 216200 
103 0.4901969813776776 11.64551645491994 -3.704496216195885 218300 
104 0.4925394997369531 11.9075465842911 -3.598515227576525 220400 
105 0.4947369142570396 12.89222177484504 -3.665609441027196 222500 
106 0.4972340150316222 11.57410031798291 -3.686790663863695 224600 
107 0.4995598737721748 12.37869916792225 -3.677156920217064 226700 
108 0.5018301452699623 12.57524786952243 -3.633192717742139 228800 
109 0.504033403346629 13.20951002097565 -3.705050354668813 230900 
110 0.5062079360344578 13.49519128278403 -3.72676395021493 233000 
111 0.5083315114821875 13.36604684872819 -3.581768915289473 235100 
112 0.5104923258975257 13.38825374126235 -3.637771446315783 237200 
113 0.5125418340232269 14.05016911825594 -3.618947044744514 239300 
114 0.5145324177755627 14.43795108744083 -3.604755358780286 241400 
115 0.5165820990265845 14.2864104924581 -3.65739487400916 243500 
116 0.5186090356924405 14.56415073094097 -3.678415936492766 245600 
117 0.5206130677472894 14.4258055622255 -3.582752235461982 247700 
118 0.5225901165028973 15.32705208552084 -3.763704434934497 249800 
119 0.5246395858115523 14.20560528097291 -3.576069055090492 251900 
120 0.5266791542056294 14.58029465488453 -3.64797553892977 254000 
121 0.5285614608875884 16.24490947245133 -3.769561679630297 256100 
122 0.5302908528349815 16.81155374174544 -3.573352354913441 258200 
123 0.5321188533936678 16.37993320829 -3.664726535654015 260300 
124 0.53384797778152 17.58067345231864 -3.726936911065847 262400 
125 0.5356314430352176 17.10107713759597 -3.720150184712979 264500 
126 0.537377586430105 17.74757932739453 -3.778243900216561 266600 
127 0.5391139088082275 16.85930648347776 -3.538397501845853 268700 
128 0.540954022931206 16.79527343559959 -3.728974449668112 270800 
129 0.5426285133123953 17.95655006113179 -3.627527873811955 272900 
130 0.5442495505612235 18.79054594315238 -3.674944234648799 275000 
131 0.5460209276137291 17.22380815068887 -3.64987423392883 277100 
132 0.5477195407463704 17.49771799865043 -3.544257560826835 279200 
133 0.5494402946177334 17.75422846713402 -3.638046817553664 281300 
134 0.5510907428004803 19.14554199289515 -3.7722690316105 283400 
135 0.5527494435380373 18.47200730600181 -3.634931287734887 285500 
136 0.5544128692269031 18.47524212074609 -3.635104864922457 287600 
137 0.5559582585395242 19.92992362275665 -3.648071572568513 289700 
138 0.557515747134037 20.0034057984648 -3.681740131328539 291800 
139 0.5590916537367873 19.70868942079606 -3.656377708733705 293900 
140 0.5606134168560269 20.73041163692074 -3.715247744004659 296000 
141 0.5622163952317698 19.67527036494281 -3.693123213684413 298100 
142 0.5638127448867362 19.58384654666466 -3.648037975035833 300200 
143 0.5653469804263624 21.03276393646882 -3.773362248465095 302300 
144 0.5668459095233617 20.84144603206389 -3.636962245645938 304400 
145 0.5683837582184786 20.82123765739215 -3.720538792424776 306500 
146 0.5698350312577468 21.94637126068805 -3.699861715850285 308600 
147 0.571372749257518 20.88362391179954 -3.712022619830877 310700 
148 0.5728700903509195 21.21716549361535 -3.663825603318274 312800 
149 0.5742784564419524 22.29025901166981 -3.618160563113814 314900 
150 0.5757532998078884 21.32384328289163 -3.607693128781788 317000 
151 0.5771314488329632 23.20667801504541 -3.676759765141441 319100 
152 0.5784705455659889 24.04331324357895 -3.69912745301888 321200 
153 0.5798737245260498 23.28553194512025 -3.741279491957682 323300 
154 0.5812467117536585 23.63611375393003 -3.708330467854439 325400 
155 0.5825834917655806 25.20367232406019 -3.856974082400346 327500 
156 0.5838763834354281 25.20242389462981 -3.716890680614626 329600 
157 0.5851282112529685 25.9129091653176 -3.695744269517023 331700 
158 0.5863851410120355 25.32061380742516 -3.611929806021029 333800 
159 0.5875866156626626 27.99843805298346 -3.832555386295423 335900 
160 0.5887958502548559 26.81559677268993 -3.675347569028388 338000 
161 0.5900208348535648 27.03023662320638 -3.748995859537064 340100 
162 0.591172945313988 28.82610734159137 -3.762103964889443 342200 
163 0.5923622546506745 28.31138142393153 -3.805784865044205 344300 
164 0.5934520780185804 29.77454545052979 -3.662419571970389 346400 
165 0.5946283318403651 28.97558157719004 -3.842061651660966 348500 
166 0.5957608208256459 28.76480483798828 -3.657960482320625 350600 
167 0.5968197204259316 30.70711037314737 -3.652624334672508 352700 
168 0.5979054338554098 30.72176440131911 -3.743202964654115 354800 
169 0.5989916183985238 29.51587079726307 -3.581067769603185 356900 
170 0.6001090793531295 30.32137267231512 -3.7885128204012 359000 

final radius: 0.1127319958692615
