step packing-fraction pressure energy-change total-events
0 0.01356642068911102 1.045436971836508 100 2000 
1 0.01678957963450706 1.059034696706051 -0.8488457928965577 4100 
2 0.0202071794958877 1.081076705895049 -1.011969587506733 6200 
3 0.02407205186792757 1.088252964446253 -1.041247453464722 8300 
4 0.02829949176259059 1.101038241105216 -1.103655122952552 10400 
5 0.03265104749687001 1.121867941553759 -1.177354106573025 12500 
6 0.03724675107211632 1.152901837610985 -1.361115265164237 14600 
7 0.0421720745400079 1.15772690912299 -1.325320431020094 16700 
8 0.04720894903208513 1.187623877446017 -1.434858264323102 18800 
9 0.05251368883099485 1.216827513373534 -1.565654677941742 20900 
10 0.05821260045286041 1.22978928853929 -1.605824780105757 23000 
11 0.06368419639481342 1.28232421826701 -1.724014431650434 25100 
12 0.06935005737544696 1.301415995707206 -1.74464405589083 27200 
13 0.07529715248865083 1.333794351362064 -1.86784582530981 29300 
14 0.08097335287064601 1.416593018735215 -2.063175156725229 31400 
15 0.08704257487249213 1.399694053561268 -1.968297606530034 33500 
16 0.09339491529903837 1.433154274271657 -2.079130617967063 35600 
17 0.09949596501771167 1.515089800713806 -2.22541215352593 37700 
18 0.1057067630715757 1.591859063260107 -2.451518542955479 39800 
19 0.1119982977190535 1.603520056647786 -2.385160464059077 41900 
20 0.1186272782825187 1.583537480208461 -2.291862773073449 44000 
21 0.1250885916311173 1.633997288703131 -2.297804185209617 46100 
22 0.1314934435066279 1.698648956215832 -2.385653125424493 48200 
23 0.137630371397701 1.816489285632385 -2.550716111494865 50300 
24 0.1439167464363174 1.816988506223904 -2.498615045631602 52400 
25 0.1502872795791586 1.892489916713714 -2.649319893319622 54500 
26 0.1566802921986095 1.940251829215404 -2.686554417014044 56600 
27 0.1629039228991049 2.022310080362673 -2.73196252562109 58700 
28 0.1692244898309915 1.995644251213534 -2.597246397348608 60800 
29 0.1753754737189127 2.094462395266538 -2.67989120633003 62900 
30 0.1815152572001051 2.164787268743955 -2.750584011271829 65000 
31 0.187460774309145 2.313483711695684 -2.909479189408404 67100 
32 0.1934039726238143 2.432983185700728 -3.078822240734613 69200 
33 0.1994917778775331 2.292238325220224 -2.748349784294943 71300 
34 0.2054349732751819 2.46425164480494 -2.955906911563278 73400 
35 0.2117913591775138 2.400111929587642 -2.933078036415781 75500 
36 0.2177161948822783 2.503227895505101 -2.848850249418544 77600 
37 0.2233432247005036 2.702725479771084 -2.988411811697754 79700 
38 0.2293875830956454 2.60086913565342 -2.939065379024897 81800 
39 0.235000847344031 2.827666693400727 -3.041250608057776 83900 
40 0.2405329941183543 2.919943582363991 -3.075413690249572 86000 
41 0.2460752983443793 2.982591073249065 -3.110229025348688 88100 
42 0.2514764935996972 3.12928859158946 -3.186020519663123 90200 
43 0.2571030166578477 3.011536378234954 -3.064089890362132 92300 
44 0.2620327172831379 3.442071191938926 -3.197084834953688 94400 
45 0.2674465471904977 3.191409195398986 -3.086396891329123 96500 
46 0.2723668713350817 3.439652405179193 -3.061936337157498 98600 
47 0.2773042440171007 3.573901663904433 -3.186805436827676 100700 
48 0.2823304868810221 3.554882402471673 -3.162359907934763 102800 
49 0.287109123539 3.732799349101648 -3.160481905758051 104900 
50 0.2919166788330495 3.874784877360338 -3.293550978257211 107000 
51 0.2967990266355633 3.850423952306385 -3.260678056955715 109100 
52 0.3015365636888437 4.056584686062065 -3.340988480430495 111200 

final radius: 0.08962251438457007
