step packing-fraction pressure energy-change total-events
0 0.01333808710256404 1.054982224989873 40.15237362960827 2000 
1 0.01639849342291288 1.065705140836643 -0.9138085417279557 4100 
2 0.01989721271969921 1.077103390682793 -1.005773561725509 6200 
3 0.02352506526477913 1.095913413849309 -1.083741983638332 8300 
4 0.02762744949555766 1.108204952489527 -1.176140834441264 10400 
5 0.03177777834623886 1.131609635054884 -1.247799244798953 12500 
6 0.03649514021223787 1.14020781009309 -1.314506648984437 14600 
7 0.04130971064549029 1.178588660477055 -1.498768549541029 16700 
8 0.04634792300042972 1.192543583575322 -1.502007914640257 18800 
9 0.05169405619318676 1.210406578923243 -1.557571016080737 20900 
10 0.05719123528553598 1.234728946209788 -1.611060799113907 23000 
11 0.06255038830384527 1.297837566631662 -1.813779651634551 25100 
12 0.06815140227585605 1.303849242492597 -1.772392530495227 27200 
13 0.07414248710155856 1.326969980693161 -1.873964293034946 29300 
14 0.08014145143472658 1.364693180128131 -1.932428415410569 31400 
15 0.08623652425483649 1.391703790776132 -1.954989913152039 33500 
16 0.09262339836262232 1.426846004385568 -2.079237489080799 35600 
17 0.09875654559286579 1.499543904479206 -2.184523751032986 37700 
18 0.1048495720885583 1.569214741251805 -2.32755201698246 39800 
19 0.1108590096944849 1.595053829308629 -2.264262366416748 41900 
20 0.1172531128477741 1.593994469570499 -2.273790950413601 44000 
21 0.1238662259436315 1.629310800431592 -2.362095608352733 46100 
22 0.130572711118861 1.61919629575325 -2.230419705281993 48200 
23 0.1367862792098224 1.794797168068446 -2.529609382743402 50300 
24 0.1429189173215098 1.876828581157685 -2.635978771416248 52400 
25 0.1494634167982427 1.873669943547122 -2.682083798798963 54500 
26 0.1556292913767592 1.933505492088013 -2.585553274096575 56600 
27 0.1620559422322407 1.971729755017341 -2.696723897816691 58700 
28 0.1685183650641281 1.992732798600806 -2.661430079537563 60800 
29 0.1749205976824424 2.064651524086027 -2.723807940593693 62900 
30 0.1813091420522254 2.138291920643749 -2.803315004005191 65000 
31 0.1874300011681453 2.211783266869226 -2.7616940993038 67100 
32 0.1934922032241968 2.30022860303876 -2.842855988856319 69200 
33 0.199406436076214 2.375834094454227 -2.845580983025897 71300 
34 0.2052385967793892 2.469085264445777 -2.911579268030663 73400 
35 0.2113037715972986 2.402056619561713 -2.804363553267142 75500 
36 0.2171317838159063 2.53113117130925 -2.862174040404021 77600 
37 0.2228342001813794 2.692298684275584 -3.019380723629107 79700 
38 0.2286529609579617 2.70825525123701 -3.030317635213396 81800 
39 0.2340717012357617 2.869159763432628 -3.01237503150402 83900 
40 0.2394548645831009 3.004608633533963 -3.140247309366107 86000 
41 0.2448234753704656 3.005326462329297 -3.060703022024102 88100 
42 0.2504092706332969 2.897504373099617 -2.943381916543397 90200 
43 0.2557051335385527 3.131753438275066 -3.071921455856285 92300 
44 0.2609324952670533 3.229865590367055 -3.107936905491113 94400 
45 0.2661882360664434 3.299264335762031 -3.159326646321538 96500 
46 0.2712478694152735 3.442252455343279 -3.169552063558487 98600 
47 0.2765248744953578 3.5266410148837 -3.360664405290612 100700 
48 0.2814289459127055 3.664270311633693 -3.229889638450268 102800 
49 0.2863371070291093 3.649065644290626 -3.155823545593361 104900 
50 0.2912877951887796 3.931577908073809 -3.47325013460824 107000 
51 0.2963338480980227 3.606332937136986 -3.081880967994886 109100 
52 0.3011775809705718 4.029061978270289 -3.391585616270574 111200 
53 0.3058094563675731 4.196639129418567 -3.368379196371428 113300 
54 0.3103275315239498 4.287571240764334 -3.327494074173298 115400 
55 0.3148982318529631 4.249968897689979 -3.277845389915312 117500 
56 0.3196653764148972 4.120871102461538 -3.233310110602917 119600 
57 0.3241324114984142 4.407277150633873 -3.261450762871763 121700 
58 0.3283808476174516 4.750854407331825 -3.372115506744277 123800 
59 0.3331323886916803 4.333671176747798 -3.30445064065752 125900 
60 0.3375862890382637 4.586944572011802 -3.28639615774904 128000 
61 0.3417681271686047 4.83654375765554 -3.257835169395128 130100 
62 0.3460515751387626 5.032116713900422 -3.471051695291272 132200 
63 0.3502460210338656 4.931573978953429 -3.267587006751097 134300 
64 0.3544553623844225 5.117325108642258 -3.397031147038485 136400 
65 0.3585380592852837 5.551589909914454 -3.606899354911518 138500 
66 0.3623037631018464 5.528001218299303 -3.263194823609029 140600 
67 0.3663830672673636 5.35900029647115 -3.369753169045146 142700 
68 0.3701397944711568 5.803914180176923 -3.383952920138523 144800 
69 0.3740147998141387 5.753596687820292 -3.419728521001399 146900 
70 0.3777553287631114 5.971050605896111 -3.417160731301025 149000 
71 0.3814856507525878 6.025662080007891 -3.411117508279572 151100 
72 0.3848831304522243 6.656212631157163 -3.46595170059082 153200 
73 0.3886719091411453 6.253374813121219 -3.559514712816545 155300 
74 0.3923769689498267 6.146466159104074 -3.37156274437884 157400 
75 0.3959502569829692 6.617363224763673 -3.520867531707882 159500 
76 0.3994472741072235 6.843334508372366 -3.553853402076542 161600 
77 0.403058533835704 6.615865890145104 -3.493874516187436 163700 

final radius: 0.09872485483507606
